;species;Gap_analysis
82;Apohyale perieri;FALSE
83;Apohyale stebbingi;FALSE
84;Aporrhais pespelecani;TRUE
85;Aporrhais serresiana;FALSE
86;Arbacia lixula;TRUE
87;Arca tetragona;FALSE
88;Architeuthis dux;TRUE
89;Arenotrocha lanzarotensis;FALSE
90;Argyrotheca cuneata;FALSE
91;Argyrotheca grandicostata;FALSE
92;Arturia canariensis;FALSE
93;Ascaltis reticulum;TRUE
94;Ascobulla fragilis;FALSE
95;Aspa marginata;FALSE
96;Asperarca nodulosa;FALSE
97;Astarte castanea;TRUE
98;Asterias amurensis;TRUE
99;Astropecten aranciacus;FALSE
100;Atactodea striata;TRUE
101;Athanas nitescens;TRUE
102;Atlanta brunnea;FALSE
103;Atlanta fragilis;FALSE
104;Atlanta helicinoidea;FALSE
105;Atlanta inclinata;FALSE
106;Atlanta peronii;FALSE
107;Atlanta selvagensis;FALSE
108;Atrina fragilis;TRUE
109;Aulactinia verrucosa;TRUE
110;Aurelia aurita;TRUE
111;Auriculigerina miranda;FALSE
112;Australomicrodeutopus haswelli;FALSE
113;Axinella damicornis;TRUE
114;Axiokebuita cavernicola;TRUE
115;Azorinus chamasolen;FALSE
116;Babelomurex tectumsinense;FALSE
117;Balssia gasti;FALSE
118;Barbatia barbata;TRUE
119;Barleeia unifasciata;FALSE
120;Basterotia clancula;FALSE
121;Bathyarca pectunculoides;FALSE
122;Bathylasma hirsutum;FALSE
123;Batoteuthis skolops;TRUE
124;Batzella inops;FALSE
125;Bebryce mollis;FALSE
126;Bela oceanica;FALSE
127;Bela zonata;FALSE
128;Berthella plumula;FALSE
129;Bittium incile;FALSE
130;Bittium latreillii;FALSE
131;Bittium reticulatum;FALSE
132;Bittium watsoni;FALSE
133;Bolinus cornutus;FALSE
134;Bolma rugosa;TRUE
135;Bornia geoffroyi;FALSE
136;Bosemprella incarnata;FALSE
137;Botryphallus epidauricus;FALSE
138;Botryphallus tuber;FALSE
139;Brachidontes puniceus;FALSE
140;Brachystomia angusta;FALSE
141;Brachystomia carrozzai;FALSE
142;Brachystomia eulimoides;FALSE
143;Brachystomia scalaris;FALSE
144;Bractechlamys corallinoides;FALSE
145;Branchiomma luctuosum;FALSE
146;Brissus unicolor;FALSE
147;Brocchinia clenchi;FALSE
148;Brunetorhynchus canariensis;TRUE
149;Bulla mabillei;FALSE
150;Bulla striata;TRUE
151;Bunodactis rubripunctata;FALSE
152;Bunodeopsis pelagica;FALSE
153;Bunodeopsis strumosa;FALSE
154;Bursa rhodostoma;TRUE
155;Bursa scrobilator;FALSE
156;Caecum armoricum;FALSE
157;Caecum atlantidis;FALSE
158;Caecum clarkii;FALSE
159;Caecum elegantissimum;FALSE
160;Caecum pollicare;FALSE
161;Caecum searleswoodii;FALSE
162;Caecum swinneni;FALSE
163;Caecum vitreum;FALSE
164;Calcinus tubularis;FALSE
165;Calliactis parasitica;TRUE
166;Calliostoma conulus;FALSE
167;Calliostoma lusitanicum;FALSE
168;Callista chione;TRUE
169;Callistoctopus macropus;FALSE
170;Callogorgia verticillata;FALSE
171;Calocalanus elegans;FALSE
172;Campecopea hirsuta;TRUE
173;Campecopea lusitanica;FALSE
174;Campylaspides canariensis;FALSE
175;Campylaspis alba;FALSE
176;Campylaspis nitens;FALSE
177;Campylaspis spinosa;FALSE
178;Canarium labiatum;FALSE
179;Cancer bellianus;FALSE
180;Candidella imbricata;FALSE
181;Carcharodorhynchus worsaae;FALSE
182;Carcinus aestuarii;FALSE
183;Cardita calyculata;TRUE
184;Caryophyllia (Caryophyllia) inornata;FALSE
185;Caryophyllia (Caryophyllia) smithii;FALSE
186;Cassiella abylensis;FALSE
187;Cavolinia gibbosa;FALSE
188;Cavolinia inflexa;FALSE
189;Cavolinia uncinata;TRUE
190;Celleporina fragilis;FALSE
191;Cerastoderma edule;TRUE
192;Cereus pedunculatus;TRUE
193;Cerithiella insignis;FALSE
194;Cerithiopsis barleei;FALSE
195;Cerithiopsis diadema;FALSE
196;Cerithiopsis minima;FALSE
197;Cerithiopsis scalaris;FALSE
198;Cerithiopsis tubercularis;FALSE
199;Cerithium atratum;FALSE
200;Cerithium litteratum;FALSE
201;Cerithium lividulum;FALSE
202;Cerithium vulgatum;FALSE
203;Cervera atlantica;FALSE
204;Cestopagurus timidus;FALSE
205;Cetomya neaeroides;FALSE
206;Chaceon affinis;FALSE
207;Chalinula molitba;TRUE
208;Chalinula nigra;FALSE
209;Chama gryphoides;TRUE
210;Characella connectens;FALSE
211;Charonia lampas;TRUE
212;Charonia variegata;FALSE
213;Chauvetia affinis;FALSE
214;Chauvetia brunnea;FALSE
215;Chauvetia crassior;FALSE
216;Chauvetia decorata;FALSE
217;Chauvetia procerula;FALSE
218;Cheilea equestris;FALSE
219;Cheirodonta pallescens;FALSE
220;Cheliplana canariensis;FALSE
221;Cheliplana curini;FALSE
222;Cheliplana sarnensis;FALSE
223;Cheliplanilla cavavulcana;FALSE
224;Cheliplanilla todaroi;FALSE
225;Chelophyes appendiculata;FALSE
226;Chelura terebrans;FALSE
227;Chondrosia reniformis;TRUE
228;Chrysallida canariensis;FALSE
229;Chrysaora fuscescens;TRUE
230;Chrysogorgia quadruplex;FALSE
231;Chthamalus stellatus;TRUE
232;Cima cylindrica;FALSE
233;Cima minima;FALSE
234;Cinachyrella tarentina;FALSE
235;Cinetorhynchus rigens;FALSE
236;Ciona intestinalis;TRUE
237;Cirriformia filigera;FALSE
238;Cirsonella romettensis;FALSE
239;Cirsotrema pumiceum;FALSE
240;Clanculus berthelotii;FALSE
241;Clathrina clathrus;TRUE
242;Claudrilus helgolandicus;FALSE
243;Clausinella fasciata;FALSE
244;Clavatula mystica;FALSE
245;Clavatula sacerdos;FALSE
246;Clavelina lepadiformis;TRUE
247;Clibanarius aequabilis;FALSE
248;Clibanarius erythropus;FALSE
249;Clio pyramidata;TRUE
250;Clytia hemisphaerica;TRUE
251;Coenocyathus anthophyllites;FALSE
252;Collocherides brychius;FALSE
253;Colubraria canariensis;FALSE
254;Columbella adansoni;FALSE
255;Columbella mercatoria;FALSE
256;Columbella rustica;FALSE
257;Conasprella jaspidea;FALSE
258;Condylocardia verdensis;FALSE
259;Condylonucula bicornis;FALSE
260;Conus aemulus;FALSE
261;Conus ermineus;FALSE
262;Conus fuerteventurensis;FALSE
263;Conus guanche;FALSE
264;Conus guinaicus;FALSE
265;Conus hybridus;FALSE
266;Conus proximus;FALSE
267;Conus ventricosus;FALSE
268;Corallimorphus ingens;FALSE
269;Coralliophila fontanangioyae;FALSE
270;Coralliophila kaofitorum;FALSE
271;Coralliophila meyendorffii;TRUE
272;Coralliophila panormitana;FALSE
273;Corallistes typus;FALSE
274;Corynactis viridis;TRUE
275;Coscinasterias tenuispina;FALSE
276;Costasiella virescens;FALSE
277;Costulopsis buzzurroi;FALSE
278;Crambe crambe;TRUE
279;Crassilabrum crassilabrum;FALSE
280;Crassopleura maravignae;FALSE
281;Crenella arenaria;FALSE
282;Crepidula porcellana;FALSE
283;Creseis acicula;FALSE
284;Creseis conica;TRUE
285;Crisia admota;FALSE
286;Crisilla basteriae;FALSE
287;Crisilla callosa;FALSE
288;Crisilla cristallinula;FALSE
289;Crisilla depicta;FALSE
290;Crisilla difficilis;FALSE
291;Crisilla indispecta;FALSE
292;Crisilla innominata;FALSE
293;Crisilla iunoniae;FALSE
294;Crisilla javieri;FALSE
295;Crisilla perminima;FALSE
296;Crisilla picta;FALSE
297;Crisilla ugesae;FALSE
298;Cronius ruber;FALSE
299;Ctena decussata;TRUE
300;Ctena eburnea;TRUE
301;Ctena orbiculata;TRUE
302;Cumellopsis laevis;FALSE
303;Curveulima devians;FALSE
304;Cuspidaria cuspidata;TRUE
305;Cuspidaria jeffreysi;FALSE
306;Cuspidaria parva;FALSE
307;Cuthona correai;FALSE
308;Cuvierina atlantica;TRUE
309;Cuvierina columnella;TRUE
310;Cyatholaimus prinzi;FALSE
311;Cyclopecten simplex;FALSE
312;Cylichna cylindracea;TRUE
313;Cymbula oculus;FALSE
314;Cymbula safiana;FALSE
315;Cypraecassis testiculus;FALSE
316;Cyrillia linearis;FALSE
317;Cytharomorula grayi;FALSE
318;Dacrydium viviparum;FALSE
319;Dallina septigera;FALSE
320;Danilia otaviana;FALSE
321;Dardanus calidus;FALSE
322;Dasmosmilia lymani;FALSE
323;Deltocyathoides stimpsonii;FALSE
324;Dendrophyllia ramea;FALSE
325;Dendroxea lenis;FALSE
326;Desmacella grimaldii;FALSE
327;Desmacella inornata;FALSE
328;Devonia perrieri;FALSE
329;Diacavolinia limbata;FALSE
330;Diacria major;TRUE
331;Diacria trispinosa;TRUE
332;Diadema africanum;FALSE
333;Dikoleps cutleriana;FALSE
334;Dikoleps marianae;FALSE
335;Dikoleps nitens;FALSE
336;Dikoleps rolani;FALSE
337;Dikoleps templadoi;FALSE
338;Dikoleps umbilicostriata;FALSE
339;Dimophyes arctica;FALSE
340;Diodora canariensis;FALSE
341;Diodora gibberula;TRUE
342;Diodora graeca;TRUE
343;Diodora mus;FALSE
344;Diopatra budaevae;FALSE
345;Diopatra gallardoi;FALSE
346;Diopatra madeirensis;FALSE
347;Diopatra mariae;FALSE
348;Diopatra marocensis;FALSE
349;Diopatra mellea;FALSE
350;Diopatra micrura;FALSE
351;Discaclis canariensis;FALSE
352;Dischides politus;FALSE
353;Discotectonica discus;FALSE
354;Discoteuthis discus;TRUE
355;Donax venustus;FALSE
356;Donax vittatus;TRUE
357;Dosinia exoleta;TRUE
358;Doto canaricoronata;FALSE
359;Doto fluctifraga;FALSE
360;Dynamene bidentata;TRUE
361;Dynamene edwardsi;TRUE
362;Dynamene magnitorata;TRUE
363;Dysidea avara;TRUE
364;Dysidea etheria;TRUE
365;Dysidea fragilis;TRUE
366;Dysidea incrustans;FALSE
367;Dysidea spinosa;FALSE
368;Eatonina fulgida;FALSE
369;Ebala nitidissima;FALSE
370;Ebalia fragifera;FALSE
371;Echinaster (Echinaster) sepositus;FALSE
372;Echineulima leucophaes;FALSE
373;Echinolittorina punctata;TRUE
374;Elachisina canarica;FALSE
375;Ellisella flagellum;FALSE
376;Elysia manriquei;FALSE
377;Emarginula fissura;FALSE
378;Emarginula tenera;FALSE
379;Emarginula tuberculosa;FALSE
380;Enoplometopus antillensis;FALSE
381;Enoplometopus occidentalis;TRUE
382;Entacmaea quadricolor;TRUE
383;Epitonium candidissimum;FALSE
384;Epitonium celesti;FALSE
385;Epitonium clathrus;FALSE
386;Epitonium fischeri;FALSE
387;Epitonium fulvovittatum;FALSE
388;Epitonium nitidella;FALSE
389;Epitonium pulchellum;FALSE
390;Epitonium tiberii;FALSE
391;Epitonium trevelyanum;FALSE
392;Epitonium turtonis;FALSE
393;Ercolania lozanoi;FALSE
394;Ervilia castanea;FALSE
395;Euaugaptilus facilis;FALSE
396;Euaugaptilus paroblongus;FALSE
397;Euaugaptilus roei;FALSE
398;Euaugaptilus squamatus;FALSE
399;Eucalathis ergastica;FALSE
400;Eucalathis tuberata;FALSE
401;Euchaetomera typica;FALSE
402;Eulima fuscozonata;FALSE
403;Eumetula bouvieri;FALSE
404;Eumunida picta;TRUE
405;Euphausia superba;TRUE
406;Euphellia cinclidifera;FALSE
407;Eurycope canariensis;FALSE
408;Euryozius bouvieri;FALSE
409;Euspira catena;FALSE
410;Euspira fusca;FALSE
411;Euspira grossularia;FALSE
412;Euspira guilleminii;FALSE
413;Exaiptasia diaphana;TRUE
414;Exogone (Exogone) marisae;FALSE
415;Exogone (Sylline) aquadulcensis;FALSE
416;Farrea occa;TRUE
417;Felimare bilineata;FALSE
418;Felimare picta;TRUE
419;Felimare tricolor;FALSE
420;Felimida binza;FALSE
421;Flabellina affinis;TRUE
422;Flexopecten flexuosus;TRUE
423;Folinella excavata;FALSE
424;Fossarus ambiguus;FALSE
425;Fusinus saundersi;FALSE
426;Fusinus tenerifensis;FALSE
427;Fusiturris undatiruga;FALSE
428;Galathea faiali;FALSE
429;Galathea intermedia;TRUE
430;Galathea squamifera;TRUE
431;Galeomma turtoni;TRUE
432;Gammarella fucicola;FALSE
433;Gargamella perezi;FALSE
434;Gari costulata;FALSE
435;Gari depressa;FALSE
436;Gari virgata;FALSE
437;Gastrosaccus roscoffensis;FALSE
438;Geitodoris bacalladoi;FALSE
439;Gemophos viverratoides;FALSE
440;Geodia spherastrella;FALSE
441;Gesiella jameensis;TRUE
442;Gibberula caelata;FALSE
443;Gibberula estherae;FALSE
444;Gibberula hernandezi;FALSE
445;Gibberula jansseni;FALSE
446;Gibberula metoo;FALSE
447;Gibberula miliaria;FALSE
448;Gibberula nuryana;FALSE
449;Gibberula recondita;FALSE
450;Gibbula aurantia;FALSE
451;Gibbula candei;FALSE
452;Gibbula magus;TRUE
453;Gibbula racketti;FALSE
454;Gibbula spurca;FALSE
455;Gibbula tindayaensis;FALSE
456;Gibbula tingitana;FALSE
457;Glycymeris glycymeris;TRUE
458;Glycymeris pilosa;FALSE
459;Glyptoxanthus cavernosus;FALSE
460;Gnathophylleptum tellei;FALSE
461;Gofasia vanderlandi;FALSE
462;Goodallia triangularis;TRUE
463;Gouldia minima;FALSE
464;Grania canaria;FALSE
465;Grania fortunata;FALSE
466;Grania roscoffensis;FALSE
467;Granulina guancha;FALSE
468;Granulina rutae;FALSE
469;Granulinopsis atlantidea;FALSE
470;Graphis albida;FALSE
471;Grapsus adscensionis;FALSE
472;Grapsus grapsus;FALSE
473;Gregariella petagnae;FALSE
474;Gregariella semigranata;FALSE
475;Grimpoteuthis megaptera;FALSE
476;Gutturnium muricinum;FALSE
477;Gyroscala commutata;FALSE
478;Hadriania craticulata;FALSE
479;Hadzia acutus;FALSE
480;Haedropleura septangularis;FALSE
481;Halcampoides purpureus;TRUE
482;Haliclona (Halichoclona) fulva;FALSE
483;Haliclona (Haliclona) simulans;FALSE
484;Haliclona (Haliclona) urceolus;FALSE
485;Haliclona (Reniera) cinerea;FALSE
486;Haliclona (Reniera) tubifera;FALSE
487;Haliclona (Soestella) implexa;FALSE
488;Haliclona (Soestella) valliculata;FALSE
489;Haliotis tuberculata;TRUE
490;Haliotis varia;TRUE
491;Haliris lamothei;FALSE
492;Halocynthia papillosa;TRUE
493;Halonympha depressa;FALSE
494;Halosbaena fortunata;FALSE
495;Haminoea hydatis;TRUE
496;Haminoea navicula;TRUE
497;Haminoea orbignyana;TRUE
498;Haminoea orteai;TRUE
499;Harpa doris;FALSE
500;Hastula lepida;FALSE
501;Heleobia canariensis;FALSE
502;Heliacus fallaciosus;FALSE
503;Heliconoides inflatus;TRUE
504;Hemilepton nitidum;FALSE
505;Hemimycale columella;TRUE
506;Hemipolygona armata;TRUE
507;Herbstia rubra;FALSE
508;Hermaea conejera;FALSE
509;Hermodice carunculata;TRUE
510;Heteromysoides cotti;FALSE
511;Hexaplex duplex;FALSE
512;Hexaplex kuesterianus;FALSE
513;Hexaplex trunculus;FALSE
514;Hiatella arctica;TRUE
515;Hiatella rugosa;FALSE
516;Hipponix antiquatus;FALSE
517;Hirtomurex squamosus;FALSE
518;Hispanirhynchia cornea;FALSE
519;Holothuria (Holothuria) mammata;FALSE
520;Holothuria (Holothuria) tubulosa;FALSE
521;Holothuria (Platyperona) sanctori;FALSE
522;Holothuria (Roweothuria) arguinensis;FALSE
523;Holothuria (Thymiosycia) impatiens;FALSE
524;Homarus gammarus;TRUE
525;Hormathia alba;FALSE
526;Hyalinoecia tubicola;TRUE
527;Hydatina vesicaria;FALSE
528;Hydrobia acuta;FALSE
529;Hymedesmia (Stylopus) coriacea;FALSE
530;Hymenaster rex;FALSE
531;Hymeniacidon perlevis;TRUE
532;Hyotissa hyotis;TRUE
533;Hypocuma serratifrons;FALSE
534;Hyrtios collectrix;FALSE
535;Iphinoe canariensis;FALSE
536;Ircinia oros;TRUE
537;Ircinia polejaeffi;FALSE
538;Ircinia variabilis;FALSE
539;Irus irus;TRUE
540;Isara cornea;FALSE
541;Isarachnanthus maderensis;TRUE
542;Isidella elongata;FALSE
543;Isognomon dunkeri;FALSE
544;Isognomon perna;TRUE
545;Janolus faustoi;FALSE
546;Janthina janthina;FALSE
547;Janthina pallida;FALSE
548;Janthina umbilicata;FALSE
549;Japonactaeon pusillus;FALSE
550;Joania cordata;FALSE
551;Jujubinus exasperatus;FALSE
552;Jujubinus gravinae;FALSE
553;Jujubinus guanchus;FALSE
554;Jujubinus hernandezi;FALSE
555;Jujubinus mabelae;FALSE
556;Jujubinus poppei;FALSE
557;Jujubinus striatus;FALSE
558;Kaloplocamus ramosus;FALSE
559;Kellia suborbicularis;FALSE
560;Krachia obeliscoides;FALSE
561;Krachia tiara;FALSE
562;Kurtiella pellucida;FALSE
563;Kurtiella triangularis;FALSE
564;Labidognathia longicollis;TRUE
565;Lacazella mediterranea;FALSE
566;Laevicardium crassum;FALSE
567;Laevicardium oblongum;FALSE
568;Lamellaria perspicua;FALSE
569;Laona condensa;FALSE
570;Lasaea rubra;TRUE
571;Ledella pustulosa;TRUE
572;Leiosolenus aristatus;FALSE
573;Leocrates atlanticus;FALSE
574;Lepas (Anatifa) anatifera;FALSE
575;Lepas indica;FALSE
576;Lepidasthenia medanensis;FALSE
577;Lepidochitona piceola;FALSE
578;Lepidochitona stroemfelti;FALSE
579;Lepidopleurus cajetanus;TRUE
580;Leptaxinus incrassatus;FALSE
581;Leptochiton algesirensis;TRUE
582;Leptochiton odhneri;FALSE
583;Leptogorgia ruberrima;FALSE
584;Leptogorgia viminalis;FALSE
585;Leptonerilla diatomeophaga;TRUE
586;Leptopsammia pruvoti;TRUE
587;Leptothyrella incerta;FALSE
588;Leucon (Epileucon) ensis;FALSE
589;Leucon (Epileucon) socius;FALSE
590;Leucon (Epileucon) spiniventris;FALSE
591;Leucophytia bidentata;TRUE
592;Leufroyia concinna;FALSE
593;Leufroyia leufroyi;FALSE
594;Levinsenia canariensis;FALSE
595;Lewindromia unidentata;FALSE
596;Lima lima;TRUE
597;Lima marioni;FALSE
598;Limacina bulimoides;TRUE
599;Limacina lesueurii;TRUE
600;Limacina trochiformis;FALSE
601;Limaria hians;TRUE
602;Limaria loscombi;FALSE
603;Limatula surugensis;FALSE
604;Limopsis aurita;FALSE
605;Limopsis cristata;FALSE
606;Limopsis minuta;FALSE
607;Linatella caudata;FALSE
608;Lioberus agglutinans;FALSE
609;Liocarcinus navigator;TRUE
610;Lissotesta gittenbergeri;FALSE
611;Lissotesta major;FALSE
612;Lissotesta turrita;FALSE
613;Lithophaga lithophaga;TRUE
614;Litiopa melanostoma;FALSE
615;Littorina littorea;TRUE
616;Littorina saxatilis;TRUE
617;Lobiger serradifalci;FALSE
618;Loripes orbiculatus;FALSE
619;Lucina adansoni;TRUE
620;Lucina columbella;FALSE
621;Luidia ciliaris;FALSE
622;Luidia sarsii;FALSE
623;Luria lurida;FALSE
624;Lyonsia norwegica;TRUE
625;Lyonsiella abyssicola;TRUE
626;Lyonsiella subquadrata;FALSE
627;Lysmata grabhami;FALSE
628;Lysmata nilita;FALSE
629;Macandrevia cranium;TRUE
630;Macellicephala mirabilis;FALSE
631;Macomangulus tenuis;TRUE
632;Macropodia hesperiae;FALSE
633;Macropodia rostrata;FALSE
634;Madracis asperula;FALSE
635;Madrepora oculata;TRUE
636;Maja squinado;TRUE
637;Makrokylindrus (Adiastylis) costatus;FALSE
638;Makrokylindrus (Adiastylis) josephinae;FALSE
639;Makrokylindrus (Adiastylis) longipes;FALSE
640;Makrokylindrus (Makrokylindrus) mystacinus;FALSE
641;Mangelia costata;FALSE
642;Mangelia multilineolata;FALSE
643;Mangelia unifasciata;FALSE
644;Mangelia vauquelini;FALSE
645;Mantacaprella macaronensis;FALSE
646;Manupecten pesfelis;FALSE
647;Manzonia castanea;FALSE
648;Manzonia darwini;FALSE
649;Manzonia dionisi;FALSE
650;Manzonia guitiani;FALSE
651;Manzonia heroensis;FALSE
652;Manzonia lanzarottii;FALSE
653;Manzonia madeirensis;FALSE
654;Manzonia manzoniana;FALSE
655;Manzonia overdiepi;FALSE
656;Manzonia talaverai;FALSE
657;Manzonia wilmae;FALSE
658;Marginella glabella;FALSE
659;Marginella helmatina;FALSE
660;Marshallora adversa;FALSE
661;Marthasterias glacialis;TRUE
662;Mathilda cochlaeformis;FALSE
663;Mathilda coronata;FALSE
664;Mathilda gemmulata;FALSE
665;Mathilda quadricarinata;FALSE
666;Megadrilus pelagicus;FALSE
667;Megadrilus schneideri;FALSE
668;Megalomphalus disciformis;FALSE
669;Meganerilla cesari;TRUE
670;Megastomia conspicua;FALSE
671;Megastomia desmiti;FALSE
672;Megastomia palmaensis;FALSE
673;Megastomia winfriedi;FALSE
674;Megathiris detruncata;TRUE
675;Megerlia truncata;TRUE
676;Melanella alba;FALSE
677;Melanella polita;FALSE
678;Melarhaphe neritoides;TRUE
679;Mellonympha mortenseni;FALSE
680;Meningodora mollis;FALSE
681;Mesonerilla armoricana;TRUE
682;Mesotanais dubius;FALSE
683;Metaxia metaxa;FALSE
684;Metrarabdotos moniliferum;FALSE
685;Microgloma pusilla;FALSE
686;Micromelo undatus;TRUE
687;Microstagon trigonum;FALSE
688;Millepora alcicornis;FALSE
689;Miscellania dentata;FALSE
690;Mitrella broderipii;FALSE
691;Mitrella bruggeni;FALSE
692;Mitrella canariensis;FALSE
693;Mitrella nitidulina;FALSE
694;Mitromorpha cachiai;FALSE
695;Mitromorpha canariensis;FALSE
696;Mitromorpha hierroensis;FALSE
697;Mitromorpha swinneni;FALSE
698;Modiolus barbatus;FALSE
699;Modiolus lulat;FALSE
700;Moerella pulchella;FALSE
701;Monophorus erythrosoma;FALSE
702;Monophorus pantherinus;FALSE
703;Monophorus perversus;FALSE
704;Monophorus thiriotae;FALSE
705;Monoplex nicobaricus;FALSE
706;Monoplex parthenopeus;FALSE
707;Monoplex pilearis;FALSE
708;Monoplex trigonus;FALSE
709;Morula mionigra;FALSE
710;Muggiaea kochii;FALSE
711;Munidopsis polymorpha;FALSE
712;Muriceides lepida;FALSE
713;Musculus costulatus;FALSE
714;Musculus subpictus;FALSE
715;Mycale (Aegogropila) contarenii;FALSE
716;Mycale (Aegogropila) tenerifensis;FALSE
717;Mycale (Carmia) macilenta;FALSE
718;Myonera alleni;FALSE
719;Myosotella myosotis;TRUE
720;Mytilaster minimus;FALSE
721;Mytilus edulis;TRUE
722;Myxicola infundibulum;FALSE
723;Nacella delesserti;FALSE
724;Nanobalcis nana;FALSE
725;Narcissia canariensis;FALSE
726;Naria spurca;FALSE
727;Nassarina rietae;FALSE
728;Nassarius consensus;FALSE
729;Natica furva;FALSE
730;Natica livida;FALSE
731;Natica marochiensis;FALSE
732;Natica multipunctata;FALSE
733;Natica prietoi;FALSE
734;Natica rocquignyi;FALSE
735;Nebalia kocatasi;FALSE
736;Neolepton guanche;FALSE
737;Neolepton moolenbeeki;FALSE
738;Neolepton sulcatulum;FALSE
739;Neophrissospongia nolitangere;FALSE
740;Neopycnodonte cochlear;TRUE
741;Nephasoma (Nephasoma) diaphanes diaphanes;FALSE
742;Nerocila armata;FALSE
743;Nodulus contortus;FALSE
744;Nodulus spiralis;FALSE
745;Notocochlis dillwynii;FALSE
746;Notodoris lanzarotensis;FALSE
747;Nototriphora canarica;FALSE
748;Nucella lapillus;FALSE
749;Oceanapia isodictyiformis;TRUE
750;Ocenebra edwardsii;FALSE
751;Ocenebra erinaceus;FALSE
752;Ocenebra leukos;FALSE
753;Ocinebrina aciculata;FALSE
754;Octopus hubbsorum;FALSE
755;Octopus joubini;FALSE
756;Octopus vulgaris;TRUE
757;Octopus wolfi;FALSE
758;Odostomella bicincta;FALSE
759;Odostomella doliolum;FALSE
760;Odostomia fehrae;FALSE
761;Odostomia hierroensis;FALSE
762;Odostomia kuiperi;FALSE
763;Odostomia lukisii;FALSE
764;Odostomia megerlei;FALSE
765;Odostomia striolata;FALSE
766;Odostomia turrita;FALSE
767;Odostomia unidentata;FALSE
768;Okenia ameliae;FALSE
769;Okenia mica;FALSE
770;Oliva flammulata;FALSE
771;Olivella pulchella;FALSE
772;Omalogyra antarctica;FALSE
773;Omalogyra simplex;FALSE
774;Ommastrephes bartramii;TRUE
775;Onchidella celtica;TRUE
776;Onchidoris perlucea;FALSE
777;Ondina dilucida;FALSE
778;Ondina obliqua;FALSE
779;Onoba nunezi;FALSE
780;Opalia coronata;FALSE
781;Opalia crenata;FALSE
782;Opalia mauritanica;FALSE
783;Ophidiaster ophidianus;FALSE
784;Ophiocomella alexandri;FALSE
785;Ophioderma longicaudum;TRUE
786;Ophryotrocha paragerlachi;FALSE
787;Ophryotrocha splendida;FALSE
788;Ovatella aequalis;FALSE
789;Ovatella firminii;TRUE
790;Oxygyrus inflatus;FALSE
791;Oxynoe benchijigua;FALSE
792;Oxynoe olivacea;FALSE
793;Pachygrapsus gracilis;FALSE
794;Pachygrapsus marmoratus;TRUE
795;Pachygrapsus maurus;FALSE
796;Pachygrapsus transversus;FALSE
797;Pagodula fraseri;FALSE
